"summonerName","summonerID","leaguePoints","wins","losses","total_matches","win_percentage"
"Z0D0","ZudZ7nAH0hTy_2P2w82yTIW64LczFnlDgaBz4siy06NynE4",210,213,143,356,59.83
"Mr Azonto","SVVwGnDifYBhD8cizPiWWCO0Hx9VPJOwXYiF_Dt3YFpXzM8fdWXJLEt6gw",14,61,41,102,59.80
"mid88","CdKJv43Rp-WycnHXrxDiNFEla9IoJ7USXSbU1ljq0q4EHzzTHEJcUtG2Ew",150,98,66,164,59.76
"The Hope For NA","uW0zFsiLNYZT4fAl6_TDo5ZtuDfiw3vg9ZSWZnCZyz1kbZmHkKkBR4NRpg",54,141,95,236,59.75
"Biological Woman","7mI-38IJpdYR5-z-JNWAWARv27ngRGLQGMnA_2VEanSTZGyD",38,175,118,293,59.73
"yonwmj","PoCQ9TQpHsYTwGfHtmu8cwqoLGZSy4C9AGoI9oOZPZfMNWnpKKlQ2NDQjg",16,120,81,201,59.70
"Mufat Carlsen","Vw0QrvUQQsChGQdzTjVmwJK0_dnUKKYkY9xheq7nFU7Bpb8",332,117,79,196,59.69
"Sakuràjima Mai","a8fH7jrzd2Zt59NpFIrnxyrI7sK2sY6h3jdte6j1Uw4jTMs",1,111,75,186,59.68
"FireMagey","6lDxwpXYqyAiY4T7TX83OUY6vkoMlyAZcleEC3A8MMLqtTY",16,136,92,228,59.65
"Tilted By Jake","1PTI7IJGlfQF68qCtK-LYD-pAH7mkN7kd8qvq7EMUAPe-quIZpKEXdZbsA",21,65,44,109,59.63
"Johnny Fast","fsoUYUeLG2T-ZG6VTxEMC-wuzygEitj683-F9yy0zP8LNgoYDfrdZ4-0YQ",336,93,63,156,59.62
"furok","b6TD0d2hHyP04Fx8fPChhLJKKMPdX2ppGbFpgk6U1QJ5XpV-ngqCp13bBA",235,124,84,208,59.62
"Metaphor","IEhahMl-NBjqMmb0vAzGiIV9HcGeG724RQ_LToiWagdkLa4",292,59,40,99,59.60
"gnylhbo","pSEgOVAjZ9YABKrtr5XkovPX6nJGYfA0E25UjoAa15GxUNTp7BH28HpNLA",127,146,99,245,59.59
"I Am Conquest","eN3NN78oUH2uRCOhRIKqkM6mxqhZWcWiowVFvDu7dNOWKjzQ66lYqPlU2g",381,382,259,641,59.59
"Stove The Great","0klZd0Ekja42VSQVzRLMx2p8Syt4u0_zYk3s9ElUNVGQ",1,28,19,47,59.57
"Sandwitch0","KOiafuXhGBe0XHIFrBk9NGe9MJb1Bxwlh7grLwaZzvkE260",329,81,55,136,59.56
"JustAN00b","v8P8lKqyCgxkvCERl-TPJKDH9ivZ_k2rwiFcozyELp1WlHY",104,53,36,89,59.55
"PW jiahaoyou","A3YJbEVoc8JMZtucod0g7sGj2t8tJMmGLqDXWuWcc0VvulY",385,209,142,351,59.54
