"summonerName","summonerID","leaguePoints","wins","losses","total_matches","win_percentage"
"Fiant","MHUu8iEjZlemyZBQkWiZPtgl877TpIq8dWv-S-91smbnz2Up6tXteu-HCA",456,188,170,358,52.51
"I Reincarnated","_pXfU4o-fl9pnHCgPVWRNw2v-DiepcqY3psoMzYI9gfQo3DT",292,157,142,299,52.51
"ItzNotYoru","EvMh-zs9o6nP3ckaZIzlV4ulOBHJMsEBNL6-RQZHq-trdVvk",281,503,455,958,52.51
"Yí Lù Xìang Bei","6LSVbhHJjLMo2zEyG7NrVjPh5RvRF-jyka5vQR8vIrnlV960WFusGzFGhw",208,324,293,617,52.51
"Renektonn","oeba2fta8kCVRrR1CD9EDBYlJkuATxO0v8p4ccUNzhyEnyc",75,398,360,758,52.51
"Crusher9654","Oa-JhOxPcywy6zsIdATsdqsMpeQyehOk80RcDunEg4K59Ug",1,63,57,120,52.50
"xiagu wangzheQAQ","AKZ0S-8llTVos5RVXMWG5rawTBySW22a45UpjA0m90AY9Tdz44xFvRnwFw",56,105,95,200,52.50
"Muslim Chadwick","q7wWQPlRuz8JDD30L6oRVRk_RQ3DItzVfutbIaQm2gLMYpvb",113,253,229,482,52.49
"HowToNeeko omero","PlrEhvcvqkamPROF8n2-6zndCMreMs61uGbF5LGLsRKMYYY",491,253,229,482,52.49
"Olux","7i6qJgRBC0v1oW4SUstzBO6Z30AnKFFhmQH87wDLMXdLdO8",344,137,124,261,52.49
"GilgameshLoL","hA-Zo8b2JziLYTwuW78PhYimoaL62XcMIEZmgH1k3-8oVPr7PxeLQp39bw",63,211,191,402,52.49
"cuhm gaming","9IEQ6I9AUK52joHQcxPTEWivacJi8SBdCim74fs-hXpyP0E",125,422,382,804,52.49
"trash panda","e7xHTbheIoZJZJgd-6fRweCjgcXORyPDyR7D0Hd8gO1fe1Y",420,338,306,644,52.48
"I LL WIN","vfyFHODZ41iVlqRMuuuXDrV7C12k4RyGSkzUwbtb6eQke6A",455,127,115,242,52.48
"pooplol","wOCyjQN2G3UExe_GvObjLcq_oGqo-kSXK2njmvX9J4hwOfY",61,360,326,686,52.48
"adc v 9","DofYF-NNCYKgG7rlP8JN03Oo-q-Kcovcmv7TeixO3WpPOijc",1,74,67,141,52.48
"Cannibaal Kevin","qdJIm1g0VIGCUU4P527m9k7dUtHvhl_qkCUaj6eeVAPGgH8G",319,275,249,524,52.48
"Jaymoper","DNp1-rTkue5OpxuX1wV5e2pU1bZD9BtwurY5uO4xkxSut7oeqCMy1GNzQQ",256,234,212,446,52.47
"X Nirvana","P6cIkdfg2d8isImjoAPVH9AVbEXF8syK2S82_PD9tG02Trl9XFspiEjJyw",255,85,77,162,52.47
"Kuai Le Nv Hai","lJDrgeVBih-e3hgHZf1uHIW2NGo6aXoLJObosBpXunUmrUI",17,626,567,1193,52.47
"Stars Guardians","apGrmJLb_w3NzCIZlqzHdHejpHgZnlJ37lEi7LiQh_G_6Lg",62,234,212,446,52.47
"Sxt Svn","lEMDbtGKCJrQpqnUbKrv1L0pJjuTLpqYiZYTkM8Tp5LCukNH",408,255,231,486,52.47
"Sayonara Vince","EaQmBau8AeJhubf6np3g7OWP8yHoaa__8li3RsnFmZ_mBf4",181,704,638,1342,52.46
"Dréamo","JPi5Ezsk-y83sQNlH-V7oM0OywZlTQsppWe2LOLq4bUotAg",346,235,213,448,52.46
"OMORI Kel","N9U2fWFf4yM1PpmXm4kLve33FscPuL36F3pFBjSDiLp8m-x6",1,511,463,974,52.46
"Puertorican Gap","Z7FRrXgQYvqmMFVTRL1oJQ5gHRF5vIuZ2eOyel0xUVy45QXc",377,352,319,671,52.46
"Xiao Kai Meng","bN5IPDcROFAOKIb6uWGaK8OQm8sSv7w4Tx3YWIaZJDQhkL0",16,225,204,429,52.45
"korean dog","feQT8Apr9KgEEbjLEJ3LQajESUK7zdWhGRZMFcc7t9zvVTl3",393,342,310,652,52.45
"Candcace","aCYKdCcsZsIq2QZZ7uqiQBlTwW9x7biHzLMG62N0v8p8BTAs",116,375,340,715,52.45
"45p","hEs5bP2MnMDcCSLjRC2LQasd06mWDv0AA9Ck6axtDrrz3CO5",37,441,400,841,52.44
"NOREJOICE","LINVwB7Q1izj_WU1aKTY4ANKEnGhUGtjrlxXd-f3WWY814A",1,183,166,349,52.44
"Kleptomancy","QGjmGJfK26Lnr8oB-wKIsqpIVCBbviDyfLklQ2P_2YrOrNo",1,366,332,698,52.44
"Windhurst","0dGO6pQRS_5-RiqnLZZ3dD4MmfO19TNj9n6rz_VNe5gHa3Y",85,279,253,532,52.44
"CR WarGod","gZPYvjnMadRQe5Now5gDP5BXhgN3RWwO0V9SMGrMrdMhGvI",139,183,166,349,52.44
"stn","V53NtPePHvTbfglJzw5lz3se7fEOZD9mAHwCTD3O-toIC5V9",411,194,176,370,52.43
"sucoH","wjYcCIaDLUKmQNI0OltgTj8kbb0vWD16ZbBe38VAbt2h4w0",377,420,381,801,52.43
"Karadyn","_lcWVv71PAH9UF771lcsm19ZkxiJ6iAmkZD5QueQGXKQSIM",1,420,381,801,52.43
"Renfis","sD0IF5Qw-QJq5CazCZRd7Zg1cekC-HGyFfgJQIUZNEhQhrY",75,271,246,517,52.42
"ye22","mlMc3fprcExCWigCXcLmUv5nCYfc44xsQPkfHoa302BJfBLa",60,260,236,496,52.42
"Stepan","lTm6cAxLNF2bCQc3X7lx5WzV58Dq1porewtf8-_nG5aLZxY",481,195,177,372,52.42
"Kklein","7lopP566COnKsK03pykFBVyUahYuVCR-of0RiQzJvOSNHI0",302,261,237,498,52.41
"jumpCCburst","ho1VNubCJitnu4FpOuArBqcaRVl9HYe47jZFJtUkv5zL8FHW",195,185,168,353,52.41
"Ørca","vEYcNT8lab-07edQRh2ezkvzbOjT79HC1ej6bUqP8taUemQ",337,284,258,542,52.40
"Boofenshmirtzen","n3ZYdj4aBzVaJnYPvPPOVH6p4zNv3mZEhYNzzRiPJl3ppnY",30,393,357,750,52.40
"Kuderic","Jrbxjs0y4E8nH8UvVUR6ErtGgsQB1gUB_W-4imgzuE0jiqc",69,120,109,229,52.40
"Liám","TkSTOxu5iakEUDxcd7I6ODbW4k9yJ95gQYSnXRdu6DssdDk",226,262,238,500,52.40
"Onsen Tamago","NPxHMNQRsLlG8w_YPWoDu8BcyeFJi015MLjWuYGT_YF8PCo",314,218,198,416,52.40
"7w7","CLqLJQHw_LC7SAaIXzVY21jSklpgpHnt1Mip0wsxL4qMJY8",118,120,109,229,52.40
"deadlygrimmy12","RUBt-8AOhVNB5mclEDtuC_hvyj_gbmxrA8MfrzZA66Wy-K8",162,316,287,603,52.40
"Long Haul Paul","pOKhlPQ-RRZcwEZMfIOVxzNnSHpuxaN2VN60jgp7k0DDcjs",189,317,288,605,52.40
"PillPopperPete","qIo080dQoY8YVnwquS2DIYBIDZXoHrCWmM9v0SMx9CmJ2-0yX7aJ7_XLug",120,274,249,523,52.39
"xiang ni kai xin","7aAZdf9ZpcTl4TDZ090ti2IwkHw8fCk9-krjeuOLvxYOfpkF",435,198,180,378,52.38
"Want Liberation","obPA-lho3zmcfuOKCWxy-c7tsL21pmW_rF5OoHXz9hWIPvS1R-Q4rfwXTg",260,99,90,189,52.38
"00006CE5000054E5","cgV5ZcIjUOZE3wp25sqAr5GC_sKChbWNDqyhBlUqESa6v_Y",277,77,70,147,52.38
"Armorkingg","rxo7DVaXLC_a_POD2xGTBoPqZTGAp7WxNgSPSHmekYbUceYfQzUOBH3VAA",43,275,250,525,52.38
"The BuIgarian","TGmgtW0xepr_FMd7szZY0YkpFU-2S9FcF-rPR2k8s2vCEB0",192,330,300,630,52.38
"m1xg","2ose42M9dN2s2YR1w3SlD5eJqhx-39f5Cm9yWh_FEj9ixpc",145,209,190,399,52.38
"WeKoohBruh","b2PoLtlxd33NhBCtcFUb5STx9ugfTKX9Jb_vTgIeItqUIWk",305,110,100,210,52.38
"snaker3","NeeVt7WaAzA0hccV1-h32Z4Ve-MmiR28EIsrerSQ8ymGbpW9BQbvMLnPxA",383,166,151,317,52.37
"Plaery","KMlzaFE2-11nk4nXjUVEc0dgiudawVePEGvuW2YYIRWy0tk",24,331,301,632,52.37
"Hey Im Scooter","FaFox6PCQe9kOJ4bmkxfzKg13biBQTnBj-1SGqQvzVvK",16,232,211,443,52.37
"Little old hen","AnoTcWq6VD_ySNJ4EV1Rn7Y1SmyKQdmOeI8r4Ov0DaP10-A",113,122,111,233,52.36
"St4ge Fright","XN8zEYw0T9LNTAUQxbxmlu-MTrh0gX9i8cBZgeJa0g2oDVI",0,322,293,615,52.36
"Ginqal","0J6repm-TG-UkSJDai90tIgG8FEDn5Ltu9AISje8OXrGENW0",326,266,242,508,52.36
"Curas","Om_S4NYfTQYWU7t-ciGkGDansVdyMplfdmnbt_amEp_2G5s",31,245,223,468,52.35
"Dacnomaniak","Q34U9BCXRopVCANERqHfXdsAK15v8Fj3JOF4qydXypa6aFE",92,345,314,659,52.35
"DarkMyDearFriend","lDk7mTTF5twxUpFKjTUH-NKK6HyPhGQZJxkvBd1MuKhKJVw",15,412,375,787,52.35
"canipi","ghzwXR0j_nz2KiaOG9CzyScux4BXbhZ0y7WCSrEDOGp5mUY",401,223,203,426,52.35
"High Grounder","1pwvyi3EybSUR_7Cvtx_1AAD2cKSA2cGPOEZuB6nIKR-PYo75Q5oFIaQ3Q",183,435,396,831,52.35
"bazzzthetaz","lbWckg7k8qkqeqti606mOQzyCPB0BmiJGhcee8KyktGD4MQ",22,156,142,298,52.35
"Doxa","FPLVsWtwWhH1yLAiDV-O6cDI5FowObAFAkoXLu1WSs-qKb8",280,334,304,638,52.35
"KOSAKI 0N0DERA","ffcx_Ss8AuNt11PaaBSWPn_w5lYArHxmoy2zFSVbZZ0yc6xNJOAD2uceVQ",67,179,163,342,52.34
"Tellur","XRfp6LFyfINBIDdQ_d_hwaTpcsMUiyysybp38j3hdnJmc30",430,291,265,556,52.34
"Navir","UMOVA86CYYti6pJin2r2RS3GYIjB3dD45rMlGfvHT4r4DPI",258,123,112,235,52.34
"Kertupa","HY0y-RUevGznWEP6Edg-RwDjxepMXNt-zhDiSlGzKUp-F97p",59,347,316,663,52.34
"ADC ShallowDream","iQZohNCSO-J-Va1g8E19jOdf_3BDO7i6NNsID-DpQgNcIw6o",253,123,112,235,52.34
"Dyson Sphere","5en82Ac32YmEh2KdIJrI8DqiYWmoircg-yTDVdZ54WxAEIc",81,168,153,321,52.34
"Ult Unforgiven","OvhKeEmEip2bQP4kSztCSpgghwGDybB2mUg6allmfoEOFWQ",248,168,153,321,52.34
"NeoSporinToGo","uv_OUScitDTTHKHsKDkjk2BAktrTOI-lmx19sEvas-qpbEY",14,235,214,449,52.34
"IcathianSprinkle","rRCK0d9y-2FwRWwN7dfwoKXrxhJJ8I4zqj6OOowNN_PGdTf3SN8r1q12Wg",125,314,286,600,52.33
"popsly","9CEeD06dz1vi6pZDlbnLr3SWnG7GCFkNJ8FqYDiEAnr3-tw",99,900,820,1720,52.33
"Meruvale","tIan497gsQ-dPhyEP28DL22nmV1ZjDaBFgJSAnjcQviNMU8",52,90,82,172,52.33
"Jermaine Cole","dq4i9-9z2T_gTDZw8Bc7UgNCYxQz7wLIis2bGop8d3-6CzM",199,516,470,986,52.33
"C405","wjoCv6YJlCWWAMMxWjougMleAadAtPhdpKA6o5HJHY15cZs",20,45,41,86,52.33
"Princess Jax","3mSU3kmnaXdBcTXzrD3rw05NAblvbXDba-KQKrNbqseGbHg",91,269,245,514,52.33
"MechanicalPlayer","5HNiHn85mFh30hgeBf_tDjO9kRFLeMpUwzCJhJhk9oNdeHY",248,326,297,623,52.33
"Sany","_JoJAABkj1yWFUa-d-jiCVeMuUAIxRPm2f3j8T0RQ4XR4LLQbuJdld4Qbg",248,404,368,772,52.33
"Stinger7480","X2Km-huhHjGIOmFotWHVPvFik7dO-_ZPQ8oz87B5jXzicow",51,259,236,495,52.32
"LightNReset","eYZD0FSbMEgbjFhI1KAn-zJUNDjLTD6R_xluGK8p54b-EjE",35,214,195,409,52.32
"SirValkyrie","mLaIF2_wY0g4sK-qrPg_Vf9U3n8ske4ShfH_5bItffcPjNA",19,79,72,151,52.32
"FerociousNerd","uXT60QIC5sxZTqFXI4ZRs-laGWbmiGhvvCbAsEFLlN7KGHg",1,394,359,753,52.32
"BlitzoIogy","7yNIbM3WMbWkJBUbg1IoRWhVfDWfmcKid7j2gOTgvPFRDco",75,203,185,388,52.32
"Griefinkstone","1V4WIUdUHWBzPkM7pne2J8vS46bG7ex3z4MCCOX8238yrt_asA5lvXMhMg",247,136,124,260,52.31
"Xiao Xiao Lu","NzDcIrb7CMrviZZbSEYphSmGLipQgCjFuRwyABKuQ-YGggA",102,328,299,627,52.31
"xzz1cx5vn","7qKga8aacxoKdT4IW42Ckocd_YXouOHSU7-D178etyaWnxMT",314,170,155,325,52.31
"ADC Viktor","KyyAnz4aS4JAkDrBzNPuVatokw6jxTTCyH5pKd1bCNA2iz0",397,339,309,648,52.31
"yotsume","MjM39KZ5sG8zAoWEPQpoEQ-gNpDfp8oi1jc6-VE0X4T6NiNg",52,68,62,130,52.31
"RexQu","t2e8ISPuqnLaEJsHWYzpKscfgjbTOYkpiJ1w3aTq1NaXPw8",445,328,299,627,52.31
"Unknown Emp","K208Qb6v1jXzM8DJWCPdEB454dht_Pqzzp4jIFI5TztWz98",397,125,114,239,52.30
"Absolutezerohero","FRvcJLcRC2ivTFU9bCIOlRzH0kJ7oCgxizWFplUQwI8thgw",252,182,166,348,52.30
"Get Carried","pMofLR5U8qnscUqb87-8YP-TvRZB0KYEd4GAISYOj8r6alM",1,273,249,522,52.30
"andrxmeda","rzwPk4ykfqfAagIxErNvTaW3fbcpS3CHDEAztz8Ua-Gaugg",213,91,83,174,52.30
"Vøltage","jdy50JhGNMpWkbvgAWUj3-deBCGc6XwkFoGV2cRNfaVkhws",28,262,239,501,52.30
"Jeanne Alter","aYd2uosd0o58fzPQyqmkEsQuDPTxuK9nia3kDTY1ew_TL3Y",173,261,238,499,52.30
"Gristlestick","KINs-Fghl2Mg6GP0B_eIavwkIpaZjGbU30UfEpEgVpcxnuk",91,443,404,847,52.30
"Eliasey","sZelu4u7nSsOc0nOPRtRYZWlPEdjoUngLV1ymdVAjdODOhg",408,160,146,306,52.29
"AH Illaoi","ugpVEAyEelBqTOJw4L33SYh9n2KS3KW8YPuII-wXhVMCTR8",314,343,313,656,52.29
"Rikkeu","2ZkvUCbbJCTs8M2CoHAvJzxVneE3865ZTMR9m142nQtzsvM",324,228,208,436,52.29
"Márs","OgZVo1LFhVZ0ozYxRHdL6kdAHF7_gIeEYqng9WzWxXyMWDo",353,274,250,524,52.29
"Masterofcookies","HD8gZRyxGye8aNuZLD_n_eSeeTPWx7Bg753C39M9vzyoRd8",35,80,73,153,52.29
"Uoneyandraci","iqjHfh8sSXw8I6LPXKE0gj2yUdEC2y7pjOBix_TbctpM-ARKuulJkpxtmw",61,274,250,524,52.29
"Bai Lan Xiao Zi","UMBjNrcDp0hnzRVo8AXjaU8cyVdPb-6JbqRRUpxZiH8axfs",138,80,73,153,52.29
"ADC 2022 LuL","3JG9wlYLcGd4cXn8FjHgiE4l1PA-xxFoEZKr7mDBdvKmQa8",149,171,156,327,52.29
"TRT Yuumi pet ","HFkxJscoQQz6SHgvyTkgcnqZlWEHIjcwhUHrSEqGaOEYsQY",462,172,157,329,52.28
"SuperEdgyName666","q2TLbPYb_AuN3vC7iv14mfs7xS7_8De5Jt1bhE13i11j0yM",39,517,472,989,52.28
"Only ban Lulu","Vmafek1QQfpOJBHZmG7CIVkoQpNk2IOmpDKjoeddaYfcvO4",42,252,230,482,52.28
"KENTUCKY KYLE","gZtHydnIX0HDj17bv_BrFTopDpzsflwJmm95KNkZ5n7KGkc",0,402,367,769,52.28
"DAMWON BeryL","9HDk1uiougCpUtgRpLASerJarxwTnLacTDA7v0zjSPtGL7A",1,252,230,482,52.28
"DexMax","LrgHv3APjbx58VLjCSBL6Y5xo-k258HASRuWpVbBPH0AQ7U",20,458,418,876,52.28
"Abitibi Papi","t42h7EtM373p_wxGXQuJxhWFenkx-IlhtrF6csQ7cy0vbMD3",283,161,147,308,52.27
"Rendevious","kAWkn36rTZ6bwQ0CrFLY4oGzOukqsOArOuY-7ozBaKMLByV7PDRu2eNp8A",1,46,42,88,52.27
"Winking","H8F-rSpd8--f7M7c6kF2TLxXbpyMJ-ncqmgBzu9N-b7X6NU",180,207,189,396,52.27
"Lord Snap","cM3ywl8VLf7JbWYX4NutEQAljyf52Da3SyoyY5Aq-DVB7Ds",14,173,158,331,52.27
"TwTv JimmyClearo","ysVpKJkbbpk_Ilp7SgaIgRvpi5tdSjfB5bivBArG-yAbIkCE",142,380,347,727,52.27
"Leidcrop","NEm8Ao7gbFvhH-gtsMMjzSR9cxmCQG8oqt-IqoDdwePVw5o",287,173,158,331,52.27
"putjuiceboxdown","rKXOksjFWm9BIH8iwB1g3zecE1X4ny2a4V1Qrli_bvl8mdY",436,230,210,440,52.27
"UwU OwO Rawr X3 ","7tC_ycORr9zQFIGtCdesORV_bIHeTnDcWnj6lI5YrxrP5i8",419,196,179,375,52.27
"Skywardd","hIUjW3d1ESXnne0D-QB-nIch_FdRCKByxKWixPrPd1l0MOlN",367,311,284,595,52.27
"DieuSam69 ","fXpanl23Ln_Q6MV38GJ7PMeJTcR-IM3ABCkcHenOPiIvTus",0,230,210,440,52.27
"Daseott","L5058Jxz8f6HYVfISexAKwd-by3yeRv8FDaw1QtmYotD7E0",1,185,169,354,52.26
"SeiKelp","AHUrE0DTvCEWhgSQHtDsQI1woT3moPQSALefG-oaO6TlqmQ",65,312,285,597,52.26
"Sarin","RgljuavucFXjJYntPblt0tO3cCjyvPgMKbYhBSI7tQS4g2M",295,104,95,199,52.26
"2Andreus","aiTRNTUnrWDrv3dSuwnPLqQeuvRQq6RuDT1F1miINeIv8E5b",356,127,116,243,52.26
"Carmite","BLd9_hmRJQkqgU7wUBi7m5Hl3pXhmD3FxzGk9tvCx0kWOkI",1,81,74,155,52.26
"ADumper","9TjhkNNtTDqcfquyAX8hJOfAkwu1zfXdcyUqASs2CA8YZdLm",199,185,169,354,52.26
"1314520","08If7rPghhvcSiWMjLaWJvoM6Ut_B8-LJQQ2Ns8UOUtFT8Y",155,150,137,287,52.26
"Deadsesne","mNFEeBtU284Hq-v4DYfp0aKOJQgiU1YNgc8FXTqsLmMnutc",341,231,211,442,52.26
"Speakerzoid","UIHDpxamFJ9cM6ROVx8zHUSAUSj4gmhdSzbb1EidfvY_MV0",142,116,106,222,52.25
"Dope33","3HN6ObQFdTGYDokHAb4xl32sEj9-o5HLrXFE3qj_e1vqJoo",305,395,361,756,52.25
"Jawst","ZVYXC8Mc8GjAYjJ2Udwe64CY1Aa2mpKHPs5zM8CmPiUgaSY",45,313,286,599,52.25
"Mechanical Angel","zrV5Cco3Hm7m8LWGneFipsRuCsrURt_th5NAlfhn-FusMAeo",1,197,180,377,52.25
"lv16 is a lie","b1AjUoha6KyhWv_FANZrRsxSWpMTwuIinmam0y2C7Fcn_IY",95,465,425,890,52.25
"Debounair","QaO2kqFwkpP5IkDl-Tc9upnWSDWTP4ajtO732m0jrospRwk",221,116,106,222,52.25
"APanFan","h6nd2yyeprhYcaYhnER9LiB2VkA-aBDJ113EUjQJEBpJfI8",15,349,319,668,52.25
"WasThatHim","N5uxOR163d3cxmQOWHo45T53zIMgnKBbKLclkYjUHj7yRbyoL9HThqhP4Q",0,291,266,557,52.24
"Sami0","xoo6pjgwjXtZn2NDLYQmd2pOqIJPmsub4EGnpvsmsyjo1lQ",4,35,32,67,52.24
"WEAKSIDE WILLIAM","to-zkjhuQETPVCBFFHSjEHwEICOI_9ScMdKA_hE25MDi1CI",455,619,566,1185,52.24
"CR Lotte","aHEBi1l3_FilH_1A6j6DVmnYRcdZl5ocEpysgjjDYo4VBGUS",12,105,96,201,52.24
"gotchee","Y_rZWsBTZQOttI-AkuGSIT6X_zlLOXKVNf98SVJR1MVY1d4",92,140,128,268,52.24
"i wont","DHca3_HFHUp_JEWv7fWLd2Ghd65XXWIJLIaHGS9Kk1exyH4",316,164,150,314,52.23
"malaguo","d09GR63Rh9maOGDcuUtQbR1srFpN_haah3xI71Uji9drHPc",52,211,193,404,52.23
"Basix","aXp20GGkAKKPxiGi4zUGBd0laJDGq12HBfpxiaHhCUxdaQk",67,153,140,293,52.22
"ARocking","UdcvHA26w9S96iziLvHq2LWdVp_mzZIYeOHDN2jcXvDg7sM",323,388,355,743,52.22
"yohun60","12kW60om9ySvqvHQNkjDPLZhxwePRfSRWh5B3DCH-kmaZWU",47,260,238,498,52.21
"bejua","D7pWYVyQ9flDrqQgPyR8VlKL78ZX0lpzc5brJ5VQS42RTrQLNxLDR6XIYA",48,355,325,680,52.21
"Tavolicious","cxEgi_tSneO2MuqmF9Oe6VTxBCgyOS1m9DRGh1bz5yvugvs",286,213,195,408,52.21
"DoYouLikeMilktea","v8RoBsZe00JbB9INgDIiXIVXJTOT3RJ8TWb3I8hyPG_qK7c",410,331,303,634,52.21
"MëowMix","PGAPW4C3xZJLAtuWk70r7MMAFEwSf78dOpP3PM06n5neYIk",14,201,184,385,52.21
"Binyi ","bnzusOjzWKcA2hAW5BYuRYYyD6BN4o9RdWaWacW1P06BqWU",16,214,196,410,52.20
"m00seinator","dbcYtTlGyEsqGuv6O-pVBz_l81PtM2GBm2bx0AULhhUOHFc",235,154,141,295,52.20
"MoiraHearst","7Hy1AAhhcsfRtKrF0Ibdvxt4JrafXWKMPdFTxfjd8xAtq_ZtO9Th_VbzwQ",238,95,87,182,52.20
"Kìńg","uzFk0FmIJMrOJbvxBBf-G9d5A00GwNgMljBuLAIF3jnUckE",88,178,163,341,52.20
"Markachino","sj750ANVRcvp-B1P7XZhVUCx15mwdX8I9jE-ulQjAZoO9IA",32,214,196,410,52.20
"  rosie  ","hn2PGvb-hwqYD5faXQCmQyaYCiNO8Hios8EpCWBezXQVnNQ",180,107,98,205,52.20
"Jer Bear","V4Vd4Tz5_YQXLoMrnHjNXH_l7skkGO0-LzEzrUDqANKwa1A",235,225,206,431,52.20
"TTV YEKURA","cPad7VSdJBu9SoMaXbZMMskieYeLJz1fEC0_e0g7fFqH2QU",200,249,228,477,52.20
"RainaisCrazy","C_JMhPCX4rT6X_7c32cvd8LCWOeXWyTJWD-zoN_X3p5lyjU",467,334,306,640,52.19
"ProphetCrumbz","JQUqxC9L8k70sTO_RDX_jv7jW07okUwUeanCSRLWnoVTDnw",84,405,371,776,52.19
"T1 Kería","99mneDIKXNjKYeh2OBy-tPwdT8bFaowlMxKdf8PvQpvLzVc",109,345,316,661,52.19
"888","AmBq9hUS0NZYYxXFJBC03U9TGkva4a47xv7POSxFcT2v4gU",215,274,251,525,52.19
"leaf","TtcAgJ_MdPbzXvfXtzV6T11tFn2HPi5OY0XffCFm9_ydRaU",23,238,218,456,52.19
"SavVi T","RgXLVRw-Pg3JviAWwQ8MB9H5OkNu6dtyhg7fT4k5PnD_NVg",117,191,175,366,52.19
"Starfruit","J2UVYzBUUxjQufTi3XU8oP8JHjRChQH43u3RCpJ1wxKk-IM",2,191,175,366,52.19
"501","2NAAXYsLqoQq7iHHxGCyl4l8SVr53uHfgJbAzrnO8krWCnM",15,358,328,686,52.19
"MouseMazing","rXbx0JSd_aiDRgwdnNZASW0r-7g67hQk52DzKx-rMVPW0oc",260,287,263,550,52.18
"lTHTl","IBBmTQZ2CQF920Bl3C7PYo3CMV9fja4VNkA81QqOIhvdegM",124,263,241,504,52.18
"Phazè","O8HUhgLKiB1wiswdUxDM_1c415ggy0X8Lqt2FtSCnMLIoOjA",34,646,592,1238,52.18
"dioxide1","SRcQ-KVaPQmQQedQkmwOgYghnHb1b3BwSk6P_CAO5pz8joo",291,204,187,391,52.17
"Killerqueen fans","jk9kAn_WVWy6YVonkki9r305d88nYyDV3HE62XT9lX167r0",263,108,99,207,52.17
"are you waiting","VefHocK9Unzz59rAqpSIZxkNLsKf9TNo1YBnCbeuu68e8cs",205,96,88,184,52.17
"kxbe","U4YJJtEDwkv3Rh1xpPFZv4IIpiF13l3W_nT2x4Rftkdd0GIPn7nnASl19A",89,277,254,531,52.17
"hailuaximuoi18","DYwtY1XrcDgp4bC2b4vK5LZpi2I2VIJJBMOqHN-yE_92NGXp2eqgvnme7g",78,336,308,644,52.17
"Banded Dragonite","vh3uoN6A9wWbgc0bUDaZlK0o7LwE24lf9ntZxwGblK74X_n6ttzyMeMZFg",52,384,352,736,52.17
"Champaign Sunset","XnnZ3pfP4qbt18egV-oXPkjrhTvgLwjaa_enRrMgS94tbfq7IRS_8X7Vtg",46,120,110,230,52.17
"LOA Enjoyer","yYeggSg6gkDRLLQafj-BrdBMeJAtymqSmcZUhHGsIGwfsOfGMjYytT265g",198,84,77,161,52.17
"fillnpcgala","S7NM2kJ9bOLjPVuHMRrwVR6Y0u_N9CcThiG5F7Eru8W_0dTU",121,72,66,138,52.17
"What a noob","NHuV7IkFJV-Y0rwrgxJFi75VRFGhZM2W5wpPScngKgSYrpU",361,336,308,644,52.17
"JusungE","aDbWyggvrjGKtEuJ96fM3G8lxe6--J1st3vETU-lysgQZulOHAj5rY2Suw",86,145,133,278,52.16
"Sillysiddy","UtM12RwElK6bb0IAsnuyHwD6rTJ23roThaTkCmFu_byzHaU",91,399,366,765,52.16
"GhostToasties","_YFYO5L3IuGuFozKNUb10BfICZq1BYBkyL8_hbZOtPEyeo4",399,495,454,949,52.16
"PANDASANDA","u_E6UQfQwNzOw4z5-x97EKyRqPXL0adVEfjYlai3Suf-xE8",8,109,100,209,52.15
"Turbo Ultra Bard","3Sm0OQlv-PYoDYFdQSOqnrX5bGLNxTY8rrYbAF2ymwLa0TQ",163,412,378,790,52.15
"oKyler1","PzUGhAAkMhH3lFqg9rQX0CEGxBE2iUcUeorS0omThXZ4d0w",215,134,123,257,52.14
"ChocoPockySticks","oZ-fnjUG08cs1B5Z4TGHdTT0y2ymBMP1uDu9oQOdb2lrO9Y",66,414,380,794,52.14
"Sweet Night","3PTdLIKYb7rJCdAppieBAr_Aa4VI3POdyqWSh4I1t_Rk67xvf0xvrpVRVw",7,134,123,257,52.14
"WrongHoleOniChan","T0fpELSnAcCHgj1IK1Q118GJf6IxzwKp9CBkNm2c-yMzoT0",240,146,134,280,52.14
"Ye He","-W1-1-3L9OEUEszKUVmkkfbImycpWVELhMaSbyU_UFBl7Oo",294,134,123,257,52.14
"Soünd","04eX11cHyL--0HTE72F8N6lc8rSc0QsRP725P94lnQMp8Ew",203,391,359,750,52.13
"sorawrs ducky","C_NzBohLSEIbbHkKLbuTRfvsbzgePEUhuXYZ6AZRpmmiyyNV",202,417,383,800,52.13
"twtv Dziarmaga","QNattI2S5y0x4MY8qkquFy3tc3XAFdI0gYY2QR3fXrh3O4E",371,466,428,894,52.13
"Lil Pow Pow","_u50ihX80O-4eMzH2oyJ3kr63g9u9FaQ-5jiUyJ5e3Kc86I",105,318,292,610,52.13
"Unluckybreak","hkK9GXCCU5_-3W0p4dfcESr1bQKezl6QeUpdMy56Klsycl_SkYuLvo7SrQ",21,269,247,516,52.13
"TSM Striker","MAi-kLyYFe-EjeMsGHgpWyG7iZn0wlgcOhw5lYE56W0enWA",1,611,561,1172,52.13
"Velenos327","XW_LieQX3A8aq10Qt5EWWLCNVPppCarC4ZX5ZHebt1AGhQAR",115,367,337,704,52.13
" roselol","rebjCsH1sVlnoEQ2fcRv-2u5rF1NImOb9Fe4_-9tdzk33Pyym4rT2uRUoA",74,110,101,211,52.13
"senzawa gura","c6417f1UhTLTNhvpmsDtsKcG8goFE6l0MoFWm1HwO5e9dD9v",70,392,360,752,52.13
