,leaguePoints,wins,losses
297,65,88,87
298,11,171,191
299,78,151,119
300,24,86,103
301,3,64,65
302,12,170,127
303,75,337,351
304,75,210,214
305,60,202,147
306,0,314,262
307,36,89,66
308,13,149,150
309,48,145,137
310,15,752,746
311,27,141,101
312,17,70,61
313,75,96,86
314,43,144,152
315,28,268,232
316,91,360,364
317,41,180,166
318,12,86,81
319,41,281,254
320,49,110,95
321,40,106,96
322,55,223,235
323,21,398,380
324,10,281,256
325,59,153,122
326,14,141,151
327,79,448,407
328,51,169,162
329,61,814,817
330,26,123,100
331,36,321,297
332,49,48,30
333,0,40,23
334,49,161,132
335,40,81,59
336,6,42,28
337,20,310,299
338,8,309,310
339,75,108,96
340,48,280,266
341,27,482,454
342,42,348,318
343,38,218,181
344,59,26,37
345,0,135,155
346,70,572,566
347,18,59,45
348,23,314,304
349,43,196,186
350,34,163,157
351,7,654,654
352,24,69,51
353,0,136,113
354,44,455,472
355,42,114,107
356,28,331,319
357,17,268,272
358,24,109,95
359,42,34,34
360,58,75,64
361,16,34,26
362,39,405,407
363,27,289,300
364,59,69,81
365,0,64,55
366,0,85,100
367,78,515,466
368,31,144,135
369,28,353,334
370,29,261,286
371,0,131,93
372,0,128,123
373,2,307,231
374,75,51,52
375,60,228,208
376,47,258,245
377,31,130,117
378,22,186,159
379,27,502,496
380,55,273,258
381,75,533,524
382,66,183,162
383,36,132,153
384,34,266,249
385,0,178,194
386,4,118,115
387,44,44,18
388,2,108,71
389,34,99,80
390,2,329,317
391,90,58,40
392,17,115,71
393,16,286,280
394,89,87,58
395,75,737,711
396,56,34,49
397,37,189,199
398,76,51,28
399,77,221,225
400,4,259,250
401,0,393,401
402,21,218,217
403,17,85,62
404,65,186,200
405,54,80,63
406,49,164,145
407,46,373,371
408,66,100,79
409,70,128,125
410,75,157,160
411,64,726,708
412,75,45,24
413,93,128,123
414,78,901,848
415,75,247,219
416,73,136,87
417,20,42,31
418,26,138,147
419,30,66,54
420,37,226,217
421,0,413,377
422,0,617,581
423,40,272,250
424,75,482,460
425,75,98,80
426,17,111,103
427,45,577,577
428,40,141,117
429,46,125,124
430,24,404,366
431,75,40,32
432,75,86,47
433,11,168,144
434,93,79,62
435,75,67,70
436,75,150,147
437,66,84,78
438,75,162,147
439,26,92,67
440,61,68,72
441,44,131,92
442,13,134,117
443,0,438,425
444,77,358,330
445,19,413,437
446,7,134,107
447,2,110,88
448,75,314,281
449,50,126,110
450,75,121,125
451,0,342,283
452,0,92,61
453,33,62,69
454,75,147,127
455,3,130,74
456,55,76,88
457,19,158,158
458,68,288,294
459,75,28,27
460,75,140,97
461,15,404,393
462,51,217,236
463,6,137,130
464,50,45,28
465,45,102,105
466,30,197,189
467,26,88,96
468,75,113,95
469,43,266,238
470,0,92,84
471,24,33,20
472,37,203,215
473,75,51,56
474,37,52,42
475,38,158,144
476,16,177,191
477,62,229,223
478,75,69,58
479,0,180,176
480,59,140,114
481,17,527,484
482,75,75,59
483,51,124,130
484,59,200,195
485,75,137,119
486,0,152,124
487,23,19,19
488,75,164,137
489,75,113,92
490,54,90,80
491,39,222,210
492,75,58,47
493,75,618,584
494,55,175,163
495,69,79,73
496,18,183,173
497,78,97,62
498,51,23,18
499,30,123,122
500,29,84,56
501,75,132,120
502,52,40,48
503,75,59,29
504,49,484,438
505,63,76,60
506,75,111,82
507,29,521,501
508,3,163,183
509,75,150,161
510,82,329,314
511,91,43,26
512,31,236,216
513,72,102,92
514,30,83,72
515,75,63,54
516,0,110,97
517,68,224,189
518,21,402,353
519,87,82,44
520,77,174,178
521,75,183,159
522,7,164,91
523,75,31,19
524,75,198,141
525,5,247,235
526,1,72,59
527,31,30,29
528,75,73,59
529,33,106,90
530,75,208,195
531,20,89,60
532,75,59,57
533,0,171,143
534,0,132,80
535,41,982,934
536,75,94,79
537,75,70,69
538,75,52,44
539,28,333,300
540,75,85,70
541,75,109,79
542,75,93,86
543,46,328,309
544,0,515,508
545,48,263,266
546,64,223,193
547,24,253,194
548,29,165,143
549,75,258,235
550,61,69,70
551,17,494,466
552,60,153,128
553,43,123,125
554,8,214,189
555,6,73,73
556,36,209,178
557,75,125,107
558,7,148,138
559,61,215,230
560,75,138,123
561,53,124,87
562,0,45,45
563,8,61,77
564,5,318,287
565,10,52,50
566,75,155,137
567,0,208,193
568,92,64,60
569,35,222,197
570,46,72,73
571,75,157,167
572,40,273,237
573,0,86,56
574,0,204,214
575,30,402,383
576,44,166,166
577,42,125,98
578,48,74,52
579,75,33,26
580,0,451,397
581,68,45,53
582,60,88,61
583,97,159,175
584,43,38,26
585,75,79,69
586,34,97,63
587,75,140,109
588,62,40,21
589,75,50,35
590,75,59,47
591,75,209,211
592,36,37,31
593,75,103,109
594,75,157,152
595,75,102,100
596,75,90,65
597,60,377,366
598,13,161,156
599,47,185,167
600,75,33,29
601,75,27,21
602,75,36,36
603,4,68,47
604,0,86,64
605,75,46,20
606,75,41,28
607,43,218,184
608,60,36,34
609,75,115,90
610,13,86,84
611,75,83,48
612,87,657,614
613,46,312,327
614,48,63,37
615,0,136,108
616,37,84,74
617,75,129,119
618,51,34,28
619,75,75,37
620,65,497,478
621,75,146,117
622,9,102,93
623,10,211,184
624,76,47,23
625,28,78,74
626,34,15,14
627,0,152,133
628,75,100,111
629,57,85,83
630,75,268,249
631,75,109,95
632,80,93,89
633,35,126,101
634,10,471,448
635,64,60,37
636,18,272,231
637,64,129,100
638,61,141,131
639,56,89,65
640,12,597,563
641,78,733,676
642,67,99,83
643,0,133,128
644,60,150,90
645,29,63,59
646,75,175,154
647,18,100,97
648,75,191,181
649,16,205,150
650,89,704,659
651,0,179,135
652,100,249,194
653,75,69,69
654,31,259,242
655,72,156,153
656,47,78,56
657,30,58,54
658,61,244,219
659,75,57,52
660,98,12,6
661,78,138,137
662,40,255,263
663,5,236,204
664,8,378,358
665,67,618,603
666,82,109,83
667,42,85,69
668,45,396,392
669,100,65,53
670,16,466,468
671,40,96,83
672,56,264,222
673,19,133,94
674,100,178,183
675,79,121,113
676,0,23,21
677,36,56,30
678,46,70,41
679,19,47,57
680,0,80,58
681,14,125,94
682,1,108,96
683,50,142,156
684,76,148,134
685,3,401,361
686,16,158,129
687,100,55,48
688,71,168,163
689,25,103,114
690,58,139,129
691,0,296,252
692,27,111,85
693,7,135,134
694,0,35,30
695,0,545,518
696,17,310,289
697,13,193,168
698,59,212,209
699,62,268,248
700,0,463,443
701,13,88,104
702,0,129,132
703,48,158,111
704,75,132,107
705,1,320,294
706,62,344,327
707,10,436,416
708,0,252,212
709,75,72,61
710,16,119,83
711,76,232,238
712,75,114,80
713,25,120,105
714,12,77,55
715,59,72,57
716,77,109,93
717,88,227,193
718,40,672,635
719,19,54,46
720,31,331,322
721,75,67,60
722,28,127,139
723,51,53,50
724,8,335,343
725,43,184,160
726,50,272,268
727,75,103,89
728,66,77,65
729,89,134,99
730,16,127,128
731,78,255,206
732,37,133,143
733,40,61,59
734,28,133,116
735,58,248,220
736,75,210,133
737,27,201,195
738,2,65,54
739,2,292,257
740,100,497,469
741,75,143,142
742,17,100,83
743,0,400,379
744,15,156,139
745,55,31,29
746,65,251,221
747,100,233,179
748,61,126,122
749,24,129,123
750,40,76,89
751,75,95,94
752,75,271,223
753,100,82,59
754,44,31,22
755,11,37,32
756,75,63,33
757,75,240,223
758,43,153,149
759,37,124,114
760,100,39,31
761,0,222,233
762,13,98,87
763,75,64,32
764,68,40,32
765,75,185,154
766,3,60,57
767,71,255,216
768,15,74,69
769,72,281,237
770,15,150,129
771,15,78,67
772,23,204,176
773,23,136,106
774,60,136,126
775,58,661,630
776,75,87,93
777,55,66,48
778,94,67,55
779,19,35,17
780,79,209,191
781,27,274,287
782,63,166,147
783,75,158,141
784,100,138,108
785,32,83,86
786,95,37,16
787,0,180,184
788,0,123,94
789,64,182,119
790,3,57,60
791,12,158,119
792,60,62,57
793,56,84,93
794,55,39,36
795,52,39,29
796,34,162,157
797,18,116,84
798,100,137,135
799,100,572,579
800,77,114,90
801,27,157,152
802,62,73,63
803,57,70,58
804,35,115,101
805,26,163,138
806,43,125,108
807,70,64,49
808,0,152,143
809,12,141,106
810,75,306,300
811,75,231,199
812,86,121,100
813,34,40,35
814,69,29,24
815,14,28,15
816,37,69,70
817,0,363,346
818,37,366,349
819,63,61,46
